,phi0,p,m,P[N],xc,yc,small_delta_v,safety_ratio
250,70.0,0.9063077870366499,0.5843878948830404,0.8087245080847242,1.5994162567194106,1.7595863756811962,2.1076436079628498,1.4156661681653908
251,70.2,0.9070440142914649,0.5838510995943151,0.8125439978122905,1.594318992725599,1.7630322897005486,2.1175977060883655,1.4106879221405038
252,70.4,0.9077774785329087,0.5833173734539764,0.816385857259321,1.5892096139483614,1.7664658414531171,2.127610102677412,1.4057320874718493
253,70.6,0.9085081775267217,0.5827867028507935,0.8202503234891466,1.58408812504197,1.7698870098177955,2.137681415548552,1.4007984424437852
254,70.8,0.9092361090470685,0.5822590742901245,0.8241376366763097,1.5789545303496517,1.7732957737764186,2.1478122706285814,1.395886767488534
255,71.0,0.9099612708765432,0.5817344743928168,0.8280480401616417,1.5738088338976435,1.776692112413993,2.1580033020960636,1.390996845151116
256,71.2,0.910683660806177,0.5812128898941229,0.831981780508454,1.5686510393891817,1.7800760049190554,2.168255152527775,1.3861284600548216
257,71.4,0.9114032766354453,0.5806943076426292,0.8359391075602906,1.563481150197929,1.7834474305836208,2.1785684730492156,1.381281398866952
258,71.6,0.912120116172273,0.5801787145991987,0.8399202744993932,1.5582991693620094,1.7868063688036036,2.188943923486973,1.3764554502653885
259,71.8,0.9128341772330428,0.5796660978359263,0.8439255379069972,1.5531050995771407,1.7901527990788324,2.199382172525865,1.3716504049052451
260,72.0,0.9135454576426009,0.5791564445351095,0.847955157824413,1.5478989431903503,1.793486701013432,2.209883897868127,1.3668660553863445
261,72.2,0.9142539552342637,0.5786497419882293,0.8520093978158559,1.5426807021930717,1.7968080543158698,2.2204497863971495,1.362102196220834
262,72.4,0.9149596678498247,0.5781459775949456,0.8560885250325134,1.5374503782142186,1.800116838799194,2.231080534344453,1.357358623801351
263,72.6,0.915662593339561,0.5776451388621057,0.8601928102779033,1.53220797251334,1.803413034381226,2.241776847460014,1.3526351363697058
